object_id;source_topology_id;java_area;julia_area;java_Ri_PAR_0_q;julia_Ri_PAR_0_q;java_Ri_PAR_q;julia_Ri_PAR_q;java_Ri_custom_0_q;julia_Ri_custom_0_q;java_Ri_custom_q;julia_Ri_custom_q;absdiff_Ri_PAR_q;reldiff_Ri_PAR_q
-1;13;0.00390625;0.00390625;69.08631256799053;69.08631617308801;69.25765776624976;69.25766138057122;69.08631256799053;69.08631617308801;69.25765776624976;69.25766138057122;3.614321457234837e-6;5.218659674333005e-8
-1;14;0.00390625;0.00390625;70.24786855150973;70.24787285427158;70.25500793477053;70.25501223791672;70.24786855150973;70.24787285427158;70.25500793477053;70.25501223791672;4.30314618427019e-6;6.125038357785854e-8
-1;15;0.00390625;0.00390625;69.75401464141402;69.75401825423829;69.81897458014546;69.81897819737101;69.754014641414;69.75401825423829;69.81897458014545;69.81897819737101;3.6172255448718715e-6;5.1808631774155386e-8
-1;16;0.00390625;0.00390625;70.12117359758196;70.12117798497339;70.1486445326625;70.14864892059705;70.12117359758194;70.12117798497339;70.14864453266249;70.14864892059705;4.387934552596562e-6;6.255195067316602e-8
-1;17;0.00390625;0.00390625;66.63692194161226;66.63692485279317;66.79542405503753;66.79542697729673;66.63692194161224;66.63692485279317;66.79542405503753;66.79542697729673;2.922259199067412e-6;4.3749392123920844e-8
-1;18;0.00390625;0.00390625;69.50742590274871;69.50742972365397;69.58425014402867;69.58425396857037;69.5074259027487;69.50742972365397;69.58425014402866;69.58425396857037;3.824541693120409e-6;5.496274926012995e-8
-1;19;0.00390625;0.00390625;69.31419682035855;69.31420009833825;69.40180350364648;69.40180678813783;69.31419682035855;69.31420009833825;69.40180350364646;69.40180678813783;3.2844913562257716e-6;4.732573492925439e-8
-1;20;0.00390625;0.00390625;70.31249586140987;70.31250026254988;70.31249586140987;70.31250026254988;70.31249586140986;70.31250026254988;70.31249586140986;70.31250026254988;4.401140003551518e-6;6.25939948459009e-8
-1;21;0.00390625;0.00390625;70.31250129793277;70.31250425249064;70.31250129793277;70.31250425249064;70.31250129793276;70.31250425249064;70.31250129793276;70.31250425249064;2.954557871248653e-6;4.2020377837639504e-8
-1;22;0.00390625;0.00390625;70.01403519390333;70.01403954255434;70.06452115644468;70.06452550942083;70.01403519390333;70.01403954255434;70.06452115644468;70.06452550942083;4.352976148425114e-6;6.212810815770084e-8
